id,start_time,end_time,type,order,image_url
1,0,10,s,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s1.png
2,11,53,s,2,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s2.png
3,54,115,s,3,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s3.png
4,116,158,s,4,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s4.png
5,159,238,s,5,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s5.png
6,239,263,s,6,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
7,264,284,s,5,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
8,285,326,s,7,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
9,327,379,s,8,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
10,380,444,s,9,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
11,445,478,s,10,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
12,479,522,q,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
13,523,538,q,2,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
14,539,547,q,3,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
15,548,556,q,4,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
16,557,470,q,5,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
17,571,578,q,6,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
18,579,586,q,7,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
19,587,618,d,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-5_s6.png
