id,start_time,end_time,type,order,image_url
1,0,16,s,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s1.png
2,17,58,s,2,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s2.png
3,59,98,s,3,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s3.png
4,99,207,s,4,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s4.png
5,208,226,q,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_q1.png
6,227,265,s,5,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s5.png
7,266,315,s,6,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s6.png
8,316,371,s,7,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s7.png
9,372,406,q,2,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_q2.png
10,407,529,d,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_d1.png
