id,start_time,end_time,type,order,image_url
1,0,81,s,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s1.png
2,82,133,s,2,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s2.png
3,134,198,s,3,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s3.png
4,199,272,s,4,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s4.png
5,273,303,s,5,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_q1.png
6,304,329,s,6,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s5.png
7,330,358,s,7,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s6.png
8,359,433,s,8,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s7.png
9,434,490,s,9,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s2.png
10,491,532,s,10,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s3.png
11,533,588,s,11,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s1.png
12,589,660,s,12,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s2.png
13,661,699,s,13,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s3.png
14,700,726,s,14,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s4.png
15,727,748,s,15,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_q1.png
16,749,788,s,16,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s5.png
17,789,805,d,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s6.png
18,806,841,s,17,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s7.png
19,842,872,d,2,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s7.png
