id,start_time,end_time,type,order,image_url
1,0,29,s,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s1.png
2,30,51,s,2,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s2.png
3,52,78,s,3,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s3.png
4,79,147,d,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s4.png
5,148,197,s,5,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_q1.png
6,198,208,s,6,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s5.png
7,209,216,s,7,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s3.png
8,217,220,s,8,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s4.png
9,221,225,s,9,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_q1.png
10,226,231,s,10,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s5.png
11,232,274,s,11,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s6.png
12,275,309,s,12,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s7.png
13,310,338,s,13,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s7.png
14,339,346,s,14,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s3.png
15,347,356,s,15,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s4.png
16,357,373,s,16,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_q1.png
17,374,384,s,17,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s3.png
18,385,388,s,18,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s4.png
19,389,390,s,19,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_q1.png
20,391,392,s,20,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s5.png
21,393,394,s,21,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s6.png
22,395,532,s,22,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s7.png
23,533,544,s,23,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s7.png
24,545,590,s,24,
25,591,642,s,25,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s7.png
26,614,622,s,26,
27,623,624,s,27,
28,625,626,s,28,
29,627,637,s,29,
30,638,639,s,31,
31,640,642,s,32,
32,643,682,s,33,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s7.png
33,683,712,q,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s7.png
34,713,865,s,35,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s7.png
