id,start_time,end_time,type,order,image_url
1,0,18,s,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s1.png
2,19,39,s,2,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s1.png
3,40,99,s,3,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s1.png
4,100,214,s,4,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s1.png
5,215,487,d,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s1.png
6,488,507,s,7,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s1.png
7,508,559,d,2,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s1.png
8,560,569,q,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s1.png
9,570,575,q,2,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s1.png
10,576,582,q,3,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s1.png
11,581,685,d,3,http://duypnguyen.hostingsiteforfree.com/moocs/images/week1-4_s1.png
