lectureID,videoWeek,videoID,videoDuration,initTime,user,currentTime,eventTime,eventType,pauseState,playbackRate,seekType,seekFrom,seekTo,interval,jumpedTime,timeSinceStart,pauseType,numOfQuizzes,pauseDuration,isScroll
117,7,1,910,1.35266799829e+12,0f946cb25fc60de136605c63df941dddf53576a5,0,1.35266799830e+12,play,False,1,NA,NA,NA,PlayStart,NA,0.011,NA,0,NA,NA
117,7,1,910,1.35266799829e+12,0f946cb25fc60de136605c63df941dddf53576a5,665.248962402,1.35266866939e+12,pause,True,1,NA,NA,NA,671.088,NA,671.099,DEFAULT,0,46.243,NA
117,7,1,910,1.35266799829e+12,0f946cb25fc60de136605c63df941dddf53576a5,665.25,1.35266871564e+12,play,False,1,NA,NA,NA,46.243,NA,717.342,NA,0,NA,NA
117,7,1,910,1.35266799829e+12,0f946cb25fc60de136605c63df941dddf53576a5,722.894287109,1.35266877319e+12,pause,True,1,NA,NA,NA,57.554,NA,774.896,DEFAULT,0,68.843,NA
117,7,1,910,1.35266799829e+12,0f946cb25fc60de136605c63df941dddf53576a5,722.895019531,1.35266884203e+12,play,False,1,NA,NA,NA,68.843,NA,843.739,NA,0,NA,NA
117,7,1,910,1.35266799829e+12,0f946cb25fc60de136605c63df941dddf53576a5,910,1.35266902928e+12,pause,True,1,NA,NA,NA,187.252,NA,1030.991,PLAYEND,0,NA,NA
117,7,1,910,1.35168736084e+12,0fdcec16afac66c4bf0414572fe88c3e20a91f62,0,1.35168736089e+12,play,False,1,NA,NA,NA,PlayStart,NA,0.043,NA,0,NA,NA
117,7,1,910,1.35168736084e+12,0fdcec16afac66c4bf0414572fe88c3e20a91f62,910,1.35168827267e+12,pause,True,1,NA,NA,NA,911.786,NA,911.829,PLAYEND,0,NA,NA
117,7,1,910,1.35230181089e+12,3c9f12943d0213d127ff6213de775f9c4f22f69e,0,1.35230181090e+12,play,False,1,NA,NA,NA,PlayStart,NA,0.019,NA,0,NA,NA
117,7,1,910,1.35230181089e+12,3c9f12943d0213d127ff6213de775f9c4f22f69e,86.5679168701,1.35230192237e+12,seeked,False,1,BW,111.465,86.5679168701,111.465,-24.8970831299,111.484,NA,0,NA,NA
117,7,1,910,1.35230181089e+12,3c9f12943d0213d127ff6213de775f9c4f22f69e,207.182525635,1.35230204306e+12,pause,True,1,NA,NA,NA,120.685,NA,232.169,DEFAULT,0,94.055,NA
117,7,1,910,1.35230181089e+12,3c9f12943d0213d127ff6213de775f9c4f22f69e,207.184524536,1.35230213711e+12,play,False,1,NA,NA,NA,94.055,NA,326.224,NA,0,NA,NA
117,7,1,910,1.35230181089e+12,3c9f12943d0213d127ff6213de775f9c4f22f69e,762.404602051,1.35230269179e+12,ratechange,False,1.25,NA,NA,NA,554.679,NA,880.903,NA,0,NA,NA
117,7,1,910,1.35230181089e+12,3c9f12943d0213d127ff6213de775f9c4f22f69e,785.605163574,1.35230271049e+12,ratechange,False,1,NA,NA,NA,18.702,NA,899.605,NA,0,NA,NA
117,7,1,910,1.35230181089e+12,3c9f12943d0213d127ff6213de775f9c4f22f69e,870.196533203,1.35230279493e+12,ratechange,False,1.25,NA,NA,NA,84.441,NA,984.046,NA,0,NA,NA
117,7,1,910,1.35230181089e+12,3c9f12943d0213d127ff6213de775f9c4f22f69e,871.180480957,1.35230279585e+12,ratechange,False,1.5,NA,NA,NA,0.92,NA,984.966,NA,0,NA,NA
117,7,1,910,1.35230181089e+12,3c9f12943d0213d127ff6213de775f9c4f22f69e,872.964050293,1.35230279715e+12,ratechange,False,1.75,NA,NA,NA,1.296,NA,986.262,NA,0,NA,NA
117,7,1,910,1.35230181089e+12,3c9f12943d0213d127ff6213de775f9c4f22f69e,910,1.35230281901e+12,pause,True,1.75,NA,NA,NA,21.861,NA,1008.123,PLAYEND,0,NA,NA
117,7,1,910,1.35294813501e+12,e258901f1b3dea3595799ddba96d023dcbfde799,0,1.35294813508e+12,play,False,1.25,NA,NA,NA,PlayStart,NA,0.064,NA,0,NA,NA
117,7,1,910,1.35294813501e+12,e258901f1b3dea3595799ddba96d023dcbfde799,18.4804725647,1.35294815263e+12,pause,True,1.25,NA,NA,NA,17.556,NA,17.62,DEFAULT,0,95.554,NA
117,7,1,910,1.35294813501e+12,e258901f1b3dea3595799ddba96d023dcbfde799,18.4819641113,1.35294824819e+12,play,False,1.25,NA,NA,NA,95.554,NA,113.174,NA,0,NA,NA
117,7,1,910,1.35294813501e+12,e258901f1b3dea3595799ddba96d023dcbfde799,128.800552368,1.35294833609e+12,pause,True,1.25,NA,NA,NA,87.903,NA,201.077,DEFAULT,0,21.129,NA
117,7,1,910,1.35294813501e+12,e258901f1b3dea3595799ddba96d023dcbfde799,128.801986694,1.35294835722e+12,play,False,1.25,NA,NA,NA,21.129,NA,222.206,NA,0,NA,NA
117,7,1,910,1.35294813501e+12,e258901f1b3dea3595799ddba96d023dcbfde799,673.553710938,1.35294878129e+12,seeked,False,1.25,FW,658.890736694,673.553710938,424.071,14.6629742432,646.277,NA,0,NA,ScrollStart
117,7,1,910,1.35294813501e+12,e258901f1b3dea3595799ddba96d023dcbfde799,706.352844238,1.35294878213e+12,seeked,False,1.25,FW,674.608710937,706.352844238,0.844,31.7441333008,647.121,NA,0,NA,ScrollEnd
117,7,1,910,1.35294813501e+12,e258901f1b3dea3595799ddba96d023dcbfde799,749.694519043,1.35294878434e+12,seeked,False,1.25,FW,709.114094238,749.694519043,2.209,40.5804248047,649.33,NA,0,NA,NA
117,7,1,910,1.35294813501e+12,e258901f1b3dea3595799ddba96d023dcbfde799,793.036193848,1.35294878743e+12,seeked,False,1.25,FW,753.558269043,793.036193848,3.091,39.4779248047,652.421,NA,0,NA,ScrollStart
117,7,1,910,1.35294813501e+12,e258901f1b3dea3595799ddba96d023dcbfde799,821.149780273,1.35294878831e+12,seeked,False,1.25,FW,794.126193848,821.149780273,0.872,27.0235864258,653.293,NA,0,NA,ScrollEnd
117,7,1,910,1.35294813501e+12,e258901f1b3dea3595799ddba96d023dcbfde799,862.148742676,1.35294879024e+12,seeked,False,1.25,FW,823.571030273,862.148742676,1.937,38.5777124023,655.23,NA,0,NA,NA
117,7,1,910,1.35294813501e+12,e258901f1b3dea3595799ddba96d023dcbfde799,849.263366699,1.35294879164e+12,seeked,False,1.25,BW,863.894992676,849.263366699,1.397,-14.6316259766,656.627,NA,0,NA,NA
117,7,1,910,1.35294813501e+12,e258901f1b3dea3595799ddba96d023dcbfde799,866.629760742,1.35294880555e+12,pause,True,1.25,NA,NA,NA,13.908,NA,670.535,DEFAULT,0,45.538,NA
117,7,1,910,1.35294813501e+12,e258901f1b3dea3595799ddba96d023dcbfde799,866.631286621,1.35294885109e+12,play,False,1.25,NA,NA,NA,45.538,NA,716.073,NA,0,NA,NA
117,7,1,910,1.35294813501e+12,e258901f1b3dea3595799ddba96d023dcbfde799,910,1.35294888651e+12,pause,True,1.25,NA,NA,NA,35.428,NA,751.501,PLAYEND,0,NA,NA
117,7,1,910,1.35188813028e+12,b2420b4fdc0c363e4e0fecf52f2dae25062665e1,0,1.35188813039e+12,play,False,1,NA,NA,NA,PlayStart,NA,0.114,NA,0,NA,NA
117,7,1,910,1.35188813028e+12,b2420b4fdc0c363e4e0fecf52f2dae25062665e1,910,1.35188904245e+12,pause,True,1,NA,NA,NA,912.056,NA,912.17,PLAYEND,0,NA,NA
117,7,1,910,1.35270764886e+12,9c3a4453b5f83387cff0aa5df7ee5e1f5e2eaf70,0,1.35270764887e+12,play,False,1,NA,NA,NA,PlayStart,NA,0.016,NA,0,NA,NA
117,7,1,910,1.35270764886e+12,9c3a4453b5f83387cff0aa5df7ee5e1f5e2eaf70,910,1.35270856061e+12,pause,True,1,NA,NA,NA,911.739,NA,911.755,PLAYEND,0,NA,NA
117,7,1,910,1.35268037512e+12,26f88f6cc02e917d5e5833caa0ca18c7f179dd9e,0,1.35268037513e+12,play,False,1,NA,NA,NA,PlayStart,NA,0.014,NA,0,NA,NA
117,7,1,910,1.35268037512e+12,26f88f6cc02e917d5e5833caa0ca18c7f179dd9e,910,1.35268128786e+12,pause,True,1,NA,NA,NA,912.725,NA,912.739,DEFAULT,0,633.539,NA
117,7,1,910,1.35268037512e+12,26f88f6cc02e917d5e5833caa0ca18c7f179dd9e,0,1.3526819214e+12,play,False,1,NA,NA,NA,633.539,NA,1546.278,NA,0,NA,NA
117,7,1,910,1.35268037512e+12,26f88f6cc02e917d5e5833caa0ca18c7f179dd9e,6.13338708878,1.35268192805e+12,error,False,1,NA,NA,NA,6.652,NA,1552.93,NA,0,NA,NA
117,7,1,910,1.35268037512e+12,26f88f6cc02e917d5e5833caa0ca18c7f179dd9e,0,1.35268193265e+12,pause,True,1,NA,NA,NA,4.607,NA,1557.537,DEFAULT,0,0.508,NA
117,7,1,910,1.35268037512e+12,26f88f6cc02e917d5e5833caa0ca18c7f179dd9e,0,1.35268193316e+12,play,False,1,NA,NA,NA,0.508,NA,1558.045,NA,0,NA,NA
117,7,1,910,1.35268037512e+12,26f88f6cc02e917d5e5833caa0ca18c7f179dd9e,910,1.35268284331e+12,pause,True,1,NA,NA,NA,910.149,NA,2468.194,PLAYEND,0,NA,NA
117,7,1,910,1.35241394947e+12,c5f32e9ce1487e3e0db26dcdb70fbf63b9b3ee0b,0,1.35241394948e+12,play,False,1,NA,NA,NA,PlayStart,NA,0.013,NA,0,NA,NA
